price_eth,price_usd,transaction_date,seller_address,background,eyes,mouth,clothes
0.35,462.26627791877627,2022-09-25T01:39:47,213,13,0,0,0
0.01,13.207607940536464,2022-09-25T01:39:47,183,5,0,15,16
0.0,0.0,2022-09-25T01:39:59,820,15,0,10,7
0.0446,58.90593141479263,2022-09-25T01:39:59,555,6,7,21,7
0.035,46.226627791877625,2022-09-25T01:39:59,399,13,15,0,0
0.0,0.0,2022-09-25T01:40:11,773,21,0,0,16
0.058,76.6041260551115,2022-09-25T01:40:11,413,19,24,10,0
0.06,79.24564764321879,2022-09-25T01:40:11,184,0,12,13,17
1.25,1650.950992567058,2022-09-25T01:40:35,506,22,0,0,0
0.0018,2.3773694292965635,2022-09-25T01:40:47,133,20,12,15,16
0.003,3.9622823821609394,2022-09-25T01:40:47,847,20,12,15,16
0.0025,3.301901985134116,2022-09-25T01:40:47,98,22,7,10,16
0.003,3.9622823821609394,2022-09-25T01:40:47,847,21,7,0,16
0.002,2.6415215881072927,2022-09-25T01:40:47,635,9,12,11,16
0.0023,3.037749826323387,2022-09-25T01:40:47,759,23,9,0,16
0.0025,3.301901985134116,2022-09-25T01:40:47,656,3,10,10,16
0.002,2.6415215881072927,2022-09-25T01:40:47,754,9,7,15,16
0.0058,7.660412605511149,2022-09-25T01:41:11,529,11,13,4,16
0.0587,77.52865861094904,2022-09-25T01:41:11,182,15,12,7,3
0.0465,61.41537692349456,2022-09-25T01:41:11,381,16,10,22,16
0.0,0.0,2022-09-25T01:41:23,860,17,9,10,25
0.07,92.45325558375524,2022-09-25T01:41:35,726,15,0,0,16
0.0,0.0,2022-09-25T01:41:59,50,15,6,12,9
0.08,105.66086352429171,2022-09-25T01:41:59,497,6,19,0,16
0.079,104.34010273023809,2022-09-25T01:41:59,629,20,14,10,16
0.08,105.66086352429171,2022-09-25T01:41:59,546,22,14,10,16
0.19,250.9445508701928,2022-09-25T01:41:59,485,16,11,20,16
0.08,105.66086352429171,2022-09-25T01:41:59,546,22,9,10,16
0.04,52.83043176214586,2022-09-25T01:42:23,1023,16,25,19,19
0.008,10.56608635242917,2022-09-25T01:42:23,122,18,6,16,12
0.0035,4.622662779187762,2022-09-25T01:42:35,393,0,0,0,16
0.0042,5.5471953350253145,2022-09-25T01:43:11,600,0,15,17,0
0.017,22.45293349891199,2022-09-25T01:43:11,680,5,9,11,24
0.0172,22.71708565772272,2022-09-25T01:43:11,677,15,6,22,16
0.046,60.754996526467735,2022-09-25T01:43:35,684,7,1,10,6
0.0029,3.8302063027555744,2022-09-25T01:43:35,661,16,0,9,16
0.07299,96.40233035797566,2022-09-25T01:43:35,705,5,0,0,16
