price_eth,price_usd,transaction_date,seller_address,background,eyes,body,mouth,head,clothes,hair
0.0002,0.29166894826207296,2022-09-18T06:31:23,0xff8e7fa939e6607b7f4f69a53d24f9bcc2b4cfc9,jungle,round shades,,cigar,black bandana,poncho,
0.16,233.33515860965835,2022-09-18T06:31:47,0x0b90449f7423b45fe61815c733bb2ff9f8ee8c8a,,dots,,blue lipstick,,,
0.033,48.125376463242034,2022-09-18T06:31:47,0x6784533e44f52a26a08ded792121678de20b21c7,,,,,,,
1.11,1618.762662854505,2022-09-18T06:31:47,0x6bf6e62979ed136faa5f83adf127c0ea5ed705ed,,,,,,,
0.03,43.75034223931094,2022-09-18T06:31:47,0xa90ef34b3ef9ffdda411beef606c21d8e7c27b36,,,,,,,
0.03,43.75034223931094,2022-09-18T06:31:47,0xa90ef34b3ef9ffdda411beef606c21d8e7c27b36,,,,,,,
0.03,43.75034223931094,2022-09-18T06:31:47,0xa90ef34b3ef9ffdda411beef606c21d8e7c27b36,,,,,,,
0.0014,2.0416826378345108,2022-09-18T06:31:47,0x85d3215e32f7b01cec944145d1a2b713133b5285,,,,,,,
0.05,72.91723706551824,2022-09-18T06:31:59,0x0b1fd1896a3362b13775f8d82769d27bd5ce6c3c,,,,,,,
0.074,107.91751085696698,2022-09-18T06:31:59,0xbe1417c74ca883780c8c433393305da5f6bdba3d,lavender,robot,,bored unshaven cigarette,,sailor shirt,
0.06,87.50068447862188,2022-09-18T06:31:59,0xc2b822a749466f5644273c08a7b75d154025a0be,,,,,,,
0.0004,0.5833378965241459,2022-09-18T06:31:59,0x52b531749d8df5eaa86e932245e3fa57c953f489,deep navy,,bond of tears,,horns,,drimdol's cut black
0.195,284.37722455552114,2022-09-18T06:31:59,0xfef1697cfa1a6c1211020681405013fee40fe2f2,pile skyline,third eye,,singing,,,
0.17,247.918606022762,2022-09-18T06:31:59,0xdd681847f6b4a629e56d45e855c6f45c94018021,,i am ok,,meh,,,
0.0,0.0,2022-09-18T06:32:11,0x506d14d1fd112c21d895d57438d8a4fcbccf9a26,,violet glasses,,unhappy,,,
0.159,231.876813868348,2022-09-18T06:32:11,0x1d90639f6d89d61099278ec4fe0257dd41518df3,,it's just tears,,happy,,,
0.0028,4.0833652756690215,2022-09-18T06:32:11,0x1e4765464fda40b58c6653ccf2b588638dec7c27,,,,,,,
0.0035,5.104206594586277,2022-09-18T06:32:11,0x6ef5b27d11a9e96348f94976d8dff7e8a264293a,,,,,,,
0.03,43.75034223931094,2022-09-18T06:32:11,0xa90ef34b3ef9ffdda411beef606c21d8e7c27b36,,,,,,,
0.03,43.75034223931094,2022-09-18T06:32:11,0xf395ac43d83d806579cd9878c2d7a15d3853c8e2,,,,,,,
0.003,4.375034223931094,2022-09-18T06:32:23,0x81f2c3c65c2d6707bf7b169ef0a8a6e6428faae9,yellow,sleepy,bored golem 1,teeth,,,
0.0315,45.93785935127649,2022-09-18T06:32:23,0x6eef09b526d883f98762a7005fabd2c800dfca44,,,,,,,
0.0091,13.270937145924318,2022-09-18T06:32:23,0xb51b76702fd6ce9b90cf7edc125753ccd54f569d,black_background,,,,,,
0.0,0.0,2022-09-18T06:32:35,0x801f87ab48891aa9b13f2d1eb519842bdf46f9b1,,,,,,,
0.03,43.75034223931094,2022-09-18T06:32:35,0xbac5b4168c1898fce9dc6a32a1265ce9af629957,,,,,,,
0.167,243.5435717988309,2022-09-18T06:32:35,0x1d90639f6d89d61099278ec4fe0257dd41518df3,,scientist,,happy ape,,,
0.023,33.541929050138386,2022-09-18T06:32:35,0x390188269a62bd69f6d459d64b49642f42971221,yellow,closed,,,ninja,,
0.0306,44.62534908409716,2022-09-18T06:32:35,0x6eef09b526d883f98762a7005fabd2c800dfca44,,,,,,,
0.0002,0.29166894826207296,2022-09-18T06:32:47,0xff8e7fa939e6607b7f4f69a53d24f9bcc2b4cfc9,flame,xray lenses,,nothing,nothing,bomber jacket,
0.0,0.0,2022-09-18T06:32:59,0xeaaa984f04d1e461317bcdc9b53585821718d5d6,,,,,,,
0.03,43.75034223931094,2022-09-18T06:32:59,0xbac5b4168c1898fce9dc6a32a1265ce9af629957,,,,,,,
0.001088,1.5866790785456768,2022-09-18T06:32:59,0x6cfe29deadef9b9863bd885c2ec16a54741736ca,,,,,,,
0.02,29.166894826207294,2022-09-18T06:32:59,0xf937989198c409c7d8c4f3f02dbf1fa5e59bae4a,,,,,,,
0.035,51.04206594586277,2022-09-18T06:32:59,0x17b809b46aa88ddc23578c04ca09dabc05809915,,,,,,,
0.0,0.0,2022-09-18T06:33:11,0x4d5e25d2da612ea938f114c365195eeb01cc3807,,enough for today,,happy ape,,,
0.009,13.125102671793282,2022-09-18T06:33:11,0xe6f1d43080749b7805e905aefef0575990f2f0b5,black_background,,,,,,
0.0303,44.18784566170405,2022-09-18T06:33:11,0x89c688395c8c605d06e1f542bff958763c1f76d2,,,,,,,
